INDUSTRY,SUM(ANNUAL_SALARY)
"Education (Higher Education)",1236271258
"Computing or Tech",628547189
Nonprofits,172933171
Law,171968840
"Health care",171394806
"Engineering or Manufacturing",170224762
"Accounting; Banking & Finance",160433825
"Government and Public Administration",156957952
"Utilities & Telecommunications",137478702
"Marketing; Advertising & PR",113296047
