YEARS_OF_PROFESSIONAL_EXPERIENCE,sum(ANNUAL_SALARY)
"21 - 30 years",1261312452
"11 - 20 years",1050907674
"5-7 years",654318616
"8 - 10 years",645301096
"2 - 4 years",221998643
"31 - 40 years",94194330
"1 year or less",32590019
"41 years or more",11505308
