RACE
"White"
"Hispanic; Latino; or Spanish origin; White"
"Asian or Asian is; White"
"Asian or Asian is"
"Another option not lisd here or prefer not to answer"
"Hispanic; Latino; or Spanish origin"
"Middle Eastern or Northern AfriCanada"
"Hispanic; Latino; or Spanish origin; Middle Eastern or Northern AfriCanada; White"
"Black or AfriCanada is"
"Black or AfriCanada is; White"
"Not Provided"
"Black or AfriCanada is; Hispanic; Latino; or Spanish origin; White"
"native is or Alaska native"
"native is or Alaska native; White"
"Hispanic; Latino; or Spanish origin; Another option not lisd here or prefer not to answer"
"Black or AfriCanada is; Middle Eastern or Northern AfriCanada; native is or Alaska native; White"
"White; Another option not lisd here or prefer not to answer"
"Black or AfriCanada is; native is or Alaska native; White"
"Asian or Asian is; Another option not lisd here or prefer not to answer"
"Middle Eastern or Northern AfriCanada; White"
"Asian or Asian is; Black or AfriCanada is; White"
"Black or AfriCanada is; Hispanic; Latino; or Spanish origin"
"Asian or Asian is; Black or AfriCanada is"
"Asian or Asian is; Hispanic; Latino; or Spanish origin; White"
"native is or Alaska native; White; Another option not lisd here or prefer not to answer"
"Asian or Asian is; Hispanic; Latino; or Spanish origin"
"Asian or Asian is; native is or Alaska native; White"
"Hispanic; Latino; or Spanish origin; native is or Alaska native"
"Black or AfriCanada is; Middle Eastern or Northern AfriCanada; White"
"Black or AfriCanada is; Hispanic; Latino; or Spanish origin; native is or Alaska native; White"
"Black or AfriCanada is; Another option not lisd here or prefer not to answer"
"native is or Alaska native; Another option not lisd here or prefer not to answer"
"Asian or Asian is; White; Another option not lisd here or prefer not to answer"
"Asian or Asian is; Middle Eastern or Northern AfriCanada"
"Asian or Asian is; Hispanic; Latino; or Spanish origin; native is or Alaska native; White"
"Hispanic; Latino; or Spanish origin; Middle Eastern or Northern AfriCanada"
"Hispanic; Latino; or Spanish origin; native is or Alaska native; White"
"Middle Eastern or Northern AfriCanada; White; Another option not lisd here or prefer not to answer"
"Hispanic; Latino; or Spanish origin; White; Another option not lisd here or prefer not to answer"
"Asian or Asian is; Black or AfriCanada is; Hispanic; Latino; or Spanish origin"
"Asian or Asian is; Black or AfriCanada is; native is or Alaska native; White"
"Middle Eastern or Northern AfriCanada; native is or Alaska native; White"
"Asian or Asian is; Middle Eastern or Northern AfriCanada; White"
"Black or AfriCanada is; Middle Eastern or Northern AfriCanada"
"Hispanic; Latino; or Spanish origin; native is or Alaska native; Another option not lisd here or prefer not to answer"
"Asian or Asian is; native is or Alaska native"
"Middle Eastern or Northern AfriCanada; native is or Alaska native"
"Asian or Asian is; Hispanic; Latino; or Spanish origin; Another option not lisd here or prefer not to answer"
"Asian or Asian is; Hispanic; Latino; or Spanish origin; White; Another option not lisd here or prefer not to answer"
White
