YEARS_OF_PROFESSIONAL_EXPERIENCE,SUM(ADDITIONAL_SALARY)
"21 - 30 years",162774985
"11 - 20 years",109334272
"8 - 10 years",39846453
"5-7 years",34165307
"2 - 4 years",15954297
"31 - 40 years",7099011
"1 year or less",1993822
"41 years or more",1282506
